pointid,grid_code,POINT_X,POINT_Y
1,-1493.8248291,-104.704469859125425,31.911067806523874
2,-1542.5927734,-104.699556282439175,31.911067806523874
3,-1542.5927734,-104.694642705752869,31.911067806523874
4,-1542.5927734,-104.689729129066620,31.911067806523874
5,-1634.3376465,-104.684815552380371,31.911067806523874
6,-1657.5024414,-104.679901975694236,31.911067806523874
7,-1724.2536621,-104.674988399007987,31.911067806523874
8,-1724.2536621,-104.670074822321737,31.911067806523874
9,-1781.8608398,-104.665161245635545,31.911067806523874
10,-1781.8608398,-104.660247668949296,31.911067806523874
11,-1839.7728271,-104.655334092263047,31.911067806523874
12,-1839.7728271,-104.650420515576798,31.911067806523874
13,-1901.6472168,-104.645506938890549,31.911067806523874
14,-1901.6472168,-104.640593362204243,31.911067806523874
15,-1962.3023682,-104.635679785518164,31.911067806523874
16,-1962.3023682,-104.630766208831858,31.911067806523874
17,-1962.3023682,-104.625852632145609,31.911067806523874
18,-2018.6904297,-104.620939055459360,31.911067806523874
19,-2018.6904297,-104.616025478773224,31.911067806523874
20,-2073.5544434,-104.611111902086975,31.911067806523874
21,-2073.5544434,-104.606198325400726,31.911067806523874
22,-2127.8088379,-104.601284748714534,31.911067806523874
23,-2127.8088379,-104.596371172028284,31.911067806523874
24,-2171.6999512,-104.591457595342035,31.911067806523874
25,-2171.6999512,-104.586544018655786,31.911067806523874
26,-2215.2863770,-104.581630441969537,31.911067806523874
27,-2215.2863770,-104.576716865283231,31.911067806523874
28,-2259.7871094,-104.571803288597096,31.911067806523874
29,-2259.7871094,-104.566889711910846,31.911067806523874
30,-2302.4592285,-104.561976135224597,31.911067806523874
31,-2302.4592285,-104.557062558538348,31.911067806523874
32,-2302.4592285,-104.552148981852042,31.911067806523874
33,-2341.4736328,-104.547235405165964,31.911067806523874
34,-2341.4736328,-104.542321828479714,31.911067806523874
35,-2381.0976562,-104.537408251793408,31.911067806523874
36,-2381.0976562,-104.532494675107273,31.911067806523874
37,-2420.7216797,-104.527581098421024,31.911067806523874
38,-2420.7216797,-104.522667521734775,31.911067806523874
39,-2461.8696289,-104.517753945048526,31.911067806523874
40,-2461.8696289,-104.512840368362220,31.911067806523874
41,-2504.2368164,-104.507926791676084,31.911067806523874
42,-2504.2368164,-104.503013214989835,31.911067806523874
43,-2547.2136230,-104.498099638303586,31.911067806523874
44,-2559.7104492,-104.493186061617337,31.911067806523874
45,-2559.7104492,-104.488272484931031,31.911067806523874
46,-2601.7729492,-104.483358908244895,31.911067806523874
47,-2601.7729492,-104.478445331558703,31.911067806523874
48,-2642.0063477,-104.473531754872397,31.911067806523874
49,-2642.0063477,-104.468618178186262,31.911067806523874
50,-2682.5449219,-104.463704601500012,31.911067806523874
51,-2682.5449219,-104.458791024813763,31.911067806523874
52,-2723.6928711,-104.453877448127514,31.911067806523874
53,-2723.6928711,-104.448963871441208,31.911067806523874
54,-2763.0119629,-104.444050294755073,31.911067806523874
55,-2763.0119629,-104.439136718068823,31.911067806523874
56,-2800.5024414,-104.434223141382574,31.911067806523874
57,-2800.5024414,-104.429309564696325,31.911067806523874
58,-2837.3833008,-104.424395988010019,31.911067806523874
59,-2837.3833008,-104.419482411323884,31.911067806523874
60,-2837.3833008,-104.414568834637691,31.911067806523874
61,-2873.6545410,-104.409655257951385,31.911067806523874
62,-2873.6545410,-104.404741681265136,31.911067806523874
63,-2910.2304688,-104.399828104579001,31.911067806523874
64,-2910.2304688,-104.394914527892752,31.911067806523874
65,-2947.1113281,-104.390000951206503,31.911067806523874
66,-2947.1113281,-104.385087374520197,31.911067806523874
67,-2983.3823242,-104.380173797834061,31.911067806523874
68,-2983.3823242,-104.375260221147812,31.911067806523874
69,-3019.0439453,-104.370346644461563,31.911067806523874
70,-3019.0439453,-104.365433067775314,31.911067806523874
71,-3055.6201172,-104.360519491089008,31.911067806523874
72,-3055.6201172,-104.355605914402872,31.911067806523874
73,-3055.6201172,-104.350692337716623,31.911067806523874
74,-3103.1689453,-104.345778761030374,31.911067806523874
75,-3103.1689453,-104.340865184344125,31.911067806523874
76,-3150.7175293,-104.335951607657876,31.911067806523874
77,-3150.7175293,-104.331038030971740,31.911067806523874
78,-3197.3520508,-104.326124454285491,31.911067806523874
79,-3197.3520508,-104.321210877599185,31.911067806523874
80,-3284.8295898,-104.316297300912936,31.911067806523874
81,-3284.8295898,-104.311383724226800,31.911067806523874
82,-3380.2319336,-104.306470147540551,31.911067806523874
83,-3378.7080078,-104.301556570854302,31.911067806523874
84,-3436.9248047,-104.296642994167996,31.911067806523874
85,-3436.9248047,-104.291729417481861,31.911067806523874
86,-3489.9599609,-104.286815840795612,31.911067806523874
87,-3489.9599609,-104.281902264109362,31.911067806523874
88,-3489.9599609,-104.276988687423113,31.911067806523874
89,-3507.3337402,-104.272075110736864,31.911067806523874
90,-3507.3337402,-104.267161534050729,31.911067806523874
91,-3657.2951660,-104.262247957364480,31.911067806523874
92,-3657.2951660,-104.257334380678174,31.911067806523874
93,-3788.0544434,-104.252420803991924,31.911067806523874
94,-3788.0544434,-104.247507227305675,31.911067806523874
95,-3852.6721191,-104.242593650619540,31.911067806523874
96,-3852.6721191,-104.237680073933291,31.911067806523874
97,-3903.8784180,-104.232766497246985,31.911067806523874
98,-3903.8784180,-104.227852920560849,31.911067806523874
99,-3953.2561035,-104.222939343874600,31.911067806523874
100,-3953.2561035,-104.218025767188351,31.911067806523874
101,-4030.0656738,-104.213112190502102,31.911067806523874
102,-4030.0656738,-104.208198613815853,31.911067806523874
103,-4030.0656738,-104.203285037129660,31.911067806523874
104,-4119.3720703,-104.198371460443468,31.911067806523874
105,-4119.3720703,-104.193457883757162,31.911067806523874
106,-4211.4218750,-104.188544307070913,31.911067806523874
107,-4211.4218750,-104.183630730384664,31.911067806523874
108,-4290.9746094,-104.178717153698528,31.911067806523874
109,-4290.9746094,-104.173803577012279,31.911067806523874
110,-4350.4106445,-104.168890000325973,31.911067806523874
111,-4350.4106445,-104.163976423639838,31.911067806523874
112,-4411.0654297,-104.159062846953589,31.911067806523874
113,-1487.7287598,-104.704469859125425,31.906154229837512
114,-1544.4216309,-104.699556282439175,31.906154229837512
115,-1544.4216309,-104.694642705752869,31.906154229837512
116,-1544.4216309,-104.689729129066620,31.906154229837512
117,-1657.5024414,-104.684815552380371,31.906154229837512
