Network Code,Station Code,Longitude (WGS84),Latitude (WGS84),Affiliation,Archive,Location Description,Place,Elevation,Start Date,End Date
TX,PB05,-103.3247,30.91978,Unavailable,TXHUB,,"Pecos County, TX",957,2016-11-05,
TX,EF04,-97.78986,29.21003,Unavailable,TXHUB,,"Nixon, TX",116,2017-12-20,
TX,PB11,-104.03412,31.93553,Unavailable,TXHUB,,"NW of Orla, TX",915,2018-05-03,
TX,EF03,-97.98036,28.94704,Unavailable,TXHUB,,"Hobson, TX",96,2018-06-09,
TX,SN04,-100.86952,32.89878,Unavailable,TXHUB,,"Snyder, TX",716,2017-03-09,
TX,SN03,-100.94118,32.92429,Unavailable,TXHUB,,"Snyder, TX",744,2017-03-09,
TX,SN02,-100.91106,32.86452,Unavailable,TXHUB,,"Snyder, TX",748,2017-03-09,
TX,PB06,-103.21825,31.6472,Unavailable,TXHUB,,"Pyote, TX",831,2017-10-11,
TX,FW15,-97.3695,32.7044,,,,"Fort Worth, TX",192,2017-04-12,
TX,PB10,-103.754585,31.283607,Unavailable,TXHUB,,"Toyah, TX",858,2018-10-17,
TX,PH03,-101.551399,35.3574,Unavailable,TXHUB,,"Panhandle, TX",1055,2018-10-26,
TX,PH02,-101.946743,35.39086,Unavailable,TXHUB,,"Potter County, TX",1094,2018-10-25,
TX,EF05,-97.517897,28.989876,Unavailable,TXHUB,,"Yorktown, TX",88,2018-11-07,
TX,PB12,-103.9577,31.2133,,,,"Toyah, TX",1011.9,2018-11-13,
TX,MB02,-102.037907,31.19806,,,,"Rankin, TX",767.7,2018-11-16,
TX,MB04,-102.48802,32.62542,Texas Seismological Network,TXHUB,,"Seminole, TX",956,2018-11-16,
TX,SN08,-101.060724,32.782579,,,,"Arah, TX",758,2018-11-29,
TX,237B,-95.808403,32.001499,Texas Seismological Network,TXHUB,,Washetta,116,2018-12-19,
TX,ET01,-94.36497,31.46512,,,,"Chireno,TX",97,2019-01-08,
TX,833A,-99.3939,28.3236,University of Texas,TXHUB,,"Cotulla, TX",171,2019-01-24,
TX,EF02,-98.5311,28.7755,,,,"Christine, TX",97.6,2019-01-24,
TX,435B,-97.585,30.7827,Texas Seismological Network,TXHUB,,Jarrell,248,2018-11-30,
TX,PB16,-103.252,31.12496,Unavailable,TXHUB,,"Coyanosa, TX",848,2019-02-13,
TX,PB04,-103.2694,31.18697,Unavailable,TXHUB,,"Verhalen, TX",812,2019-02-12,
TX,MB06,-101.7999756,31.9779827,Texas Seismological Network,TXHUB,,"Greenwood, TX",801,2019-02-28,
TX,MB05,-101.8597158,32.6265397,,,,"Klondike, TX",882,2019-03-01,
TX,MB01,-102.0829098,31.6677338,,,,"Midkiff, TX",859,2019-03-01,
TX,SN10,-100.72388,33.04918,,,,"Rotan, TX",658,2019-03-21,
TX,PCOS,-103.510147,31.408922,Guralp Systems,TXHUB,,Crockett Middle School Pecos,788.2,2019-03-31,
TX,PB09,-104.301444,31.774145,Unavailable,TXHUB,,"Orla, TX",1139,2019-05-22,
TX,PB13,-103.8458,31.5542,,,,"Northwest of Pecos, TX",956.1,2019-04-25,
TX,PB14,-103.1511,31.12932,Texas Seismological Network,TXHUB,,Fort Stockton,807,2019-06-27,
